Row ID;Ship Date;City;Sales
94;5/2/2016;Minneapolis;53.34
95;5/2/2016;Minneapolis;32.96
96;12/11/2018;Portland;5.682
97;11/11/2018;New York City;96.53
98;20/6/2018;San Francisco;51.312
99;11/9/2017;Saint Paul;77.88
100;2/9/2017;Chicago;64.624
101;2/9/2017;Chicago;95.976
102;2/9/2017;Chicago;1.788
103;4/12/2017;Rochester;23.92
104;17/11/2016;Aurora;238.896
105;17/11/2016;Aurora;102.36
106;17/11/2016;Aurora;36.882
107;28/11/2018;Charlotte;74.112
108;28/11/2018;Charlotte;27.992
109;28/11/2018;Charlotte;3.304
110;20/10/2016;Orland Park;339.96
111;30/12/2018;New York City;41.96
112;10/11/2017;Urbandale;75.96
113;10/11/2017;Urbandale;27.24
114;27/8/2015;Columbus;40.096
115;27/8/2015;Columbus;4.72
116;27/8/2015;Columbus;23.976
117;27/8/2015;Columbus;130.464
118;6/3/2016;Seattle;787.53
119;10/4/2016;Bristol;157.794
120;15/6/2017;Wilmington;47.04
121;15/6/2017;Wilmington;30.84
122;15/6/2017;Wilmington;226.56
123;15/6/2017;Wilmington;115.02
124;15/6/2017;Wilmington;68.04
125;28/12/2015;Houston;600.558
126;25/9/2015;Bloomington;617.7
127;12/11/2018;Phoenix;2.388
128;12/11/2018;Phoenix;243.992
129;10/11/2017;Los Angeles;81.424
130;10/11/2017;Los Angeles;238.56
131;5/2/2018;Columbus;59.97
132;5/2/2018;Columbus;78.304
133;5/2/2018;Columbus;21.456
134;19/10/2017;Roseville;20.04
135;19/10/2017;Roseville;35.44
136;19/10/2017;Roseville;11.52
137;19/10/2017;Roseville;4.02
138;19/10/2017;Roseville;76.176
139;19/10/2017;Roseville;65.88
140;19/10/2017;Roseville;43.12
141;7/9/2017;Philadelphia;82.8
142;23/9/2018;San Francisco;8.82
143;23/9/2018;San Francisco;10.86
144;23/9/2018;San Francisco;143.7
145;27/12/2018;Independence;839.43
146;12/9/2016;Pasadena;671.93
147;28/10/2015;Newark;93.888
148;9/12/2017;Franklin;384.45
149;9/12/2017;Franklin;149.97
150;9/12/2017;Franklin;1951.84
151;9/12/2017;Franklin;171.55
152;16/3/2017;Scottsdale;157.92
153;16/3/2017;Scottsdale;203.184
154;2/6/2016;San Jose;58.38
155;2/6/2016;San Jose;105.52
156;2/6/2016;San Jose;80.88
157;3/6/2016;Seattle;6.63
158;6/3/2015;Seattle;457.568
159;24/11/2017;Edmond;14.62
160;24/11/2017;Edmond;944.93
161;12/5/2017;Los Angeles;5.98
162;31/12/2016;Philadelphia;54.384
163;20/11/2017;Carlsbad;28.4
164;11/11/2017;Seattle;27.68
165;12/9/2015;San Antonio;9.936
166;12/9/2015;San Antonio;8159.952
167;12/9/2015;San Antonio;275.928
168;12/9/2015;San Antonio;1740.06
169;12/9/2015;San Antonio;32.064
170;12/9/2015;San Antonio;177.98
171;12/9/2015;San Antonio;143.976
172;9/8/2015;Los Angeles;20.94
173;9/8/2015;Los Angeles;110.96
174;9/8/2015;Los Angeles;340.144
175;19/9/2015;Chicago;52.448
176;19/9/2015;Chicago;20.16
177;25/4/2018;Houston;97.264
178;23/11/2016;Newark;396.802
179;23/11/2016;Newark;15.88
180;19/12/2016;New York City;3.28
181;9/12/2015;Decatur;24.816
182;9/12/2015;Decatur;408.744
183;24/11/2015;Monroe;503.96
184;24/11/2015;Monroe;149.95
185;24/11/2015;Monroe;29
186;2/12/2017;Fairfield;7.16
187;30/8/2015;Los Angeles;176.8
188;22/7/2017;Grand Prairie;37.224
189;22/7/2017;Grand Prairie;20.016
190;14/10/2016;New York City;899.136
191;14/10/2016;New York City;71.76
192;14/10/2016;New York City;51.84
193;14/10/2016;New York City;626.352
194;14/10/2016;New York City;19.9
195;6/11/2016;Redlands;14.28
196;25/3/2015;Hamilton;7.408
197;25/3/2015;Hamilton;6.048
198;13/11/2018;Westfield;46.26
199;13/7/2018;Philadelphia;2.946
200;13/7/2018;Philadelphia;16.056
201;29/6/2018;Akron;21.744
202;5/8/2015;Denver;218.75
203;5/8/2015;Denver;2.6
204;21/12/2018;Dallas;66.284
205;7/6/2018;Franklin;35.168
206;14/12/2018;Whittier;444.768
207;7/12/2018;Saginaw;83.92
208;7/12/2018;Saginaw;131.98
209;7/12/2018;Saginaw;15.92
210;7/12/2018;Saginaw;52.29
211;7/12/2018;Saginaw;91.99
212;13/2/2016;Dallas;20.8
213;9/1/2016;Medina;23.68
214;9/1/2016;Medina;452.45
215;9/1/2016;Medina;62.982
216;9/1/2016;Medina;1188
217;9/1/2016;Medina;89.584
218;1/11/2017;Los Angeles;93.06
219;1/11/2017;Los Angeles;302.376
220;27/12/2016;Dublin;5.584
221;27/12/2016;Dublin;22.704
222;27/12/2016;Dublin;19.776
223;27/12/2016;Dublin;72.704
224;27/12/2016;Dublin;479.988
225;27/12/2016;Dublin;27.168
226;16/8/2016;Detroit;2.2
227;16/8/2016;Detroit;622.45
228;16/8/2016;Detroit;21.98
229;4/3/2016;Columbia;161.568
230;4/3/2016;Columbia;389.696
231;17/9/2015;Charlotte;18.648
232;12/4/2018;Tampa;233.86
233;12/4/2018;Tampa;620.6145
234;12/4/2018;Tampa;5.328
235;12/4/2018;Tampa;258.072
236;12/4/2018;Tampa;617.976
237;16/11/2018;Santa Clara;10.56
238;9/6/2017;Chicago;25.92
239;9/6/2017;Chicago;419.68
240;9/6/2017;Chicago;11.688
241;9/6/2017;Chicago;31.984
242;9/6/2017;Chicago;177.225
243;9/6/2017;Chicago;4.044
244;9/6/2017;Chicago;7.408
245;6/6/2015;Lakeville;2001.86
246;6/6/2015;Lakeville;166.72
247;6/6/2015;Lakeville;47.88
248;6/6/2015;Lakeville;1503.25
249;6/6/2015;Lakeville;25.92
250;15/12/2017;San Francisco;321.568
251;17/9/2017;San Diego;7.61
252;17/9/2017;San Diego;3347.37
253;13/12/2017;New York City;80.58
254;13/12/2017;New York City;361.92
255;4/12/2016;Chicago;12.132
256;4/12/2016;Chicago;82.368
257;4/12/2016;Chicago;53.92
258;4/12/2016;Chicago;647.904
259;3/12/2018;New York City;20.37
260;3/12/2018;New York City;221.55
261;3/12/2018;New York City;17.52
262;12/6/2018;Pasadena;1.624
263;21/9/2015;Houston;3059.982
264;21/9/2015;Houston;2519.958
265;13/6/2017;Chicago;328.224
266;15/11/2016;Brentwood;79.9
267;20/6/2018;Chapel Hill;14.016
268;28/1/2017;Morristown;7.56
269;13/12/2018;Cincinnati;37.208
270;13/12/2018;Cincinnati;57.576
271;2/1/2019;San Francisco;725.84
272;31/7/2016;San Francisco;209.93
273;31/7/2016;San Francisco;5.28
274;31/7/2016;San Francisco;10.92
275;17/9/2018;Inglewood;8.82
276;17/9/2018;Inglewood;5.98
277;17/10/2018;Philadelphia;11.648
278;17/10/2018;Philadelphia;18.176
279;17/10/2018;Philadelphia;59.712
280;17/10/2018;Philadelphia;24.84
281;28/9/2016;Houston;2.08
282;28/9/2016;Houston;1114.4
283;6/11/2016;Los Angeles;1038.84
284;2/10/2016;Portland;141.76
285;2/10/2016;Portland;239.8
286;2/10/2016;Portland;31.104
287;20/12/2017;Tamarac;254.058
288;20/12/2017;Tamarac;194.528
289;20/12/2017;Tamarac;961.48
290;24/11/2017;Columbus;19.096
291;24/11/2017;Columbus;18.496
292;24/11/2017;Columbus;255.984
293;24/11/2017;Columbus;86.97
294;28/12/2015;Colorado Springs;300.416
295;28/12/2015;Colorado Springs;230.352
296;28/12/2015;Colorado Springs;218.352
297;28/12/2015;Colorado Springs;78.6
298;28/12/2015;Colorado Springs;27.552
299;3/11/2017;Belleville;32.4
300;3/11/2017;Belleville;1082.48
301;3/11/2017;Belleville;56.91
302;3/11/2017;Belleville;77.6
303;3/11/2017;Belleville;14.28
304;23/11/2018;Chicago;219.075
305;9/5/2016;New York City;26.8
306;4/1/2016;Taylor;9.84
307;6/6/2015;Lakewood;45.48
308;6/6/2015;Lakewood;289.2
309;17/4/2018;Arlington;4.89
310;14/9/2017;Arvada;15.136
311;14/9/2017;Arvada;466.768
312;14/9/2017;Arvada;15.232
313;14/9/2017;Arvada;6.264
314;3/10/2015;Hackensack;87.54
315;16/8/2015;Saint Petersburg;178.384
316;16/8/2015;Saint Petersburg;15.552
317;30/12/2015;Philadelphia;99.136
318;9/11/2015;New York City;135.882
319;9/11/2015;New York City;3991.98
320;9/11/2015;New York City;275.94
321;9/11/2015;New York City;360
322;9/11/2015;New York City;43.57
323;24/9/2015;Long Beach;7.16
324;27/4/2017;Hesperia;251.52
325;27/4/2017;Hesperia;99.99
326;5/11/2018;Murfreesboro;15.992
327;1/9/2017;Philadelphia;290.898
328;1/9/2017;Philadelphia;54.224
329;1/9/2017;Philadelphia;786.744
330;1/9/2017;Philadelphia;100.24
331;1/9/2017;Philadelphia;37.764
332;29/4/2017;Philadelphia;82.8
333;29/4/2017;Philadelphia;20.724
334;29/4/2017;Philadelphia;4.896
335;4/9/2016;Los Angeles;4.752
336;4/9/2016;Los Angeles;959.984
337;4/9/2016;Los Angeles;14.368
338;17/7/2015;San Francisco;7.712
339;17/7/2015;San Francisco;698.352
340;26/6/2016;Layton;4.96
341;17/4/2015;Philadelphia;17.856
342;17/4/2015;Philadelphia;509.97
343;17/4/2015;Philadelphia;30.992
344;17/4/2015;Philadelphia;71.928
345;24/12/2016;Austin;88.8
346;19/6/2018;San Francisco;47.976
347;12/7/2018;Lowell;7.56
348;12/7/2018;Lowell;24.56
349;12/7/2018;Lowell;12.96
350;3/9/2017;New York City;6.79
351;3/9/2017;New York City;24.56
352;3/9/2017;New York City;3.048
353;3/9/2017;New York City;49.12
354;3/9/2017;New York City;4355.168
355;13/4/2017;New York City;388.704
356;13/4/2017;New York City;8.26
357;13/4/2017;New York City;17.04
358;13/4/2017;New York City;34.4
359;28/4/2017;Charlotte;36.24
360;11/3/2018;Columbus;647.84
361;11/3/2018;Columbus;20.7
362;1/10/2018;New York City;20.7
363;1/10/2018;New York City;488.646
364;1/10/2018;New York City;5.56
365;1/10/2018;New York City;47.12
366;29/9/2015;San Francisco;211.96
367;21/10/2017;Manchester;23.2
368;21/10/2017;Manchester;7.36
369;21/10/2017;Manchester;104.79
370;21/10/2017;Manchester;1043.92
371;4/6/2018;Harlingen;25.92
372;4/6/2018;Harlingen;53.424
373;27/7/2015;Tucson;8.16
374;27/7/2015;Tucson;1023.936
375;27/7/2015;Tucson;9.24
376;27/7/2015;Tucson;479.04
377;1/10/2017;Quincy;99.136
378;1/9/2018;Franklin;1488.424
379;5/5/2016;Houston;8.652
380;5/5/2016;Houston;23.832
381;5/5/2016;Houston;12.176
382;29/10/2017;San Francisco;50.96
383;29/10/2017;San Francisco;49.536
384;29/6/2016;Taylor;41.9
385;2/12/2016;Pembroke Pines;375.4575
386;2/12/2016;Pembroke Pines;83.976
387;7/12/2016;Philadelphia;482.34
388;7/12/2016;Philadelphia;2.96
389;26/11/2015;Cincinnati;2.624
390;15/12/2018;New York City;23.36
391;15/12/2018;New York City;39.98
392;23/9/2015;Des Moines;246.384
393;23/9/2015;Des Moines;1799.97
394;10/6/2015;Peoria;12.462
395;5/7/2018;Las Vegas;75.792
396;19/10/2018;Warwick;49.96
397;19/10/2018;Warwick;12.96
398;4/11/2016;Jackson;70.12
399;10/9/2017;Houston;35.952
400;10/9/2017;Houston;2396.2656
401;10/9/2017;Houston;131.136
402;10/9/2017;Houston;57.584
403;26/12/2015;Miami;9.568
404;20/4/2015;Wilmington;39.072
405;29/12/2018;New York City;35.91
406;12/12/2018;San Francisco;179.95
407;12/12/2018;San Francisco;1199.976
408;12/12/2018;San Francisco;27.15
409;12/12/2018;San Francisco;1004.024
410;12/12/2018;San Francisco;9.68
411;12/12/2018;San Francisco;28.35
412;12/12/2018;San Francisco;55.98
413;12/12/2018;San Francisco;1336.829
414;12/12/2018;San Francisco;113.568
415;7/11/2018;Seattle;139.86
416;7/11/2018;Seattle;307.136
417;28/6/2018;Huntington Beach;95.92
418;18/4/2017;Los Angeles;383.8
419;10/11/2018;Richmond;5.78
420;9/3/2018;Los Angeles;9.32
421;9/3/2018;Los Angeles;15.25
422;25/6/2015;Louisville;196.752
423;23/10/2018;Lawrence;56.56
424;23/10/2018;Lawrence;32.7
425;23/8/2018;Jackson;866.4
426;26/11/2018;Canton;28.4
427;26/11/2018;Canton;287.92
428;13/9/2015;New Rochelle;69.99
429;8/10/2018;San Antonio;6.672
430;21/4/2017;Gastonia;189.588
431;21/4/2017;Gastonia;408.744
432;21/4/2017;Gastonia;291.96
433;21/4/2017;Gastonia;4.768
434;7/6/2017;Lowell;714.3
435;25/12/2015;Jacksonville;4.812
436;25/12/2015;Jacksonville;247.8
437;14/6/2017;Chicago;1007.979
438;14/6/2017;Chicago;313.488
439;19/9/2018;Houston;31.872
440;23/1/2018;New York City;207.846
441;7/9/2017;Detroit;12.22
442;7/9/2017;Detroit;194.94
443;7/9/2017;Detroit;70.95
444;7/9/2017;Detroit;91.36
445;7/9/2017;Detroit;242.94
446;7/9/2017;Detroit;22.05
447;25/3/2018;Columbus;2.91
448;3/4/2017;Auburn;59.52
449;3/4/2017;Auburn;161.94
450;3/4/2017;Auburn;263.88
451;3/4/2017;Auburn;30.48
452;3/4/2017;Auburn;9.84
453;3/4/2017;Auburn;35.12
454;24/10/2018;Akron;284.364
455;24/10/2018;Akron;665.408
456;17/12/2017;Norman;63.88
457;18/2/2015;Concord;129.568
458;1/10/2017;Decatur;747.558
459;1/10/2017;Decatur;8.928
460;22/12/2016;Seattle;103.92
461;22/12/2016;Seattle;899.91
462;22/12/2016;Seattle;51.312
463;29/4/2017;Phoenix;23.56
464;29/4/2017;Phoenix;1272.63
465;29/4/2017;Phoenix;28.485
466;29/4/2017;Phoenix;185.376
467;29/4/2017;Phoenix;78.272
468;24/1/2016;Park Ridge;254.744
469;4/4/2018;Amarillo;205.3328
470;20/12/2017;Chicago;4.788
471;24/12/2016;Lindenhurst;55.48
472;11/11/2015;San Francisco;340.92
473;11/11/2015;San Francisco;222.666
474;11/11/2015;San Francisco;703.968
475;11/11/2015;San Francisco;92.52
476;11/11/2015;San Francisco;62.65
477;11/11/2015;San Francisco;94.85
478;19/7/2017;Los Angeles;95.76
479;2/11/2017;Troy;40.2
480;2/7/2017;New York City;14.7
481;2/7/2017;New York City;704.25
482;10/10/2015;San Diego;9.09
483;27/7/2015;New York City;5.96
484;27/7/2015;New York City;159.98
485;13/6/2018;Los Angeles;29.6
486;13/6/2018;Los Angeles;514.165
487;13/6/2018;Los Angeles;279.96
488;31/10/2015;Chicago;2735.952
489;13/6/2015;Huntsville;7.992
490;13/6/2015;Huntsville;63.984
491;13/6/2015;Huntsville;70.368
492;19/9/2015;Rochester;449.15
493;19/9/2015;Rochester;11.07
494;14/5/2017;Seattle;93.98
495;21/3/2017;Memphis;189.882
496;31/12/2016;Fayetteville;105.42
497;31/7/2017;Costa Mesa;119.616
498;31/7/2017;Costa Mesa;255.76
499;31/7/2017;Costa Mesa;241.568
500;31/7/2017;Costa Mesa;69.3
501;4/6/2017;Parker;22.62
502;4/6/2017;Parker;14.952
503;4/6/2017;Parker;801.568
504;4/6/2017;Parker;2.376
505;4/6/2017;Parker;32.792
506;15/11/2018;New York City;15.92
507;22/3/2016;Atlanta;2.74
508;22/3/2016;Atlanta;8.34
509;22/3/2016;Atlanta;46.74
510;22/3/2016;Atlanta;6354.95
511;27/11/2018;Gladstone;126.3
512;27/11/2018;Gladstone;38.04
513;23/10/2017;Newark;7.152
514;25/12/2018;Los Angeles;6.63
515;25/12/2018;Los Angeles;5.88
516;27/1/2018;Great Falls;2999.95
517;27/1/2018;Great Falls;51.45
518;27/1/2018;Great Falls;11.96
519;27/1/2018;Great Falls;1126.02
520;26/3/2016;Houston;18.392
521;26/3/2016;Houston;129.568
522;26/3/2016;Houston;14.112
523;25/1/2018;Detroit;210.98
524;23/5/2017;Los Angeles;55.176
525;23/5/2017;Los Angeles;66.26
526;2/1/2017;Lawrence;22.2
527;26/10/2018;Lakeland;683.952
528;26/10/2018;Lakeland;45.696
529;7/9/2016;Philadelphia;36.336
530;7/9/2016;Philadelphia;666.248
531;7/9/2016;Philadelphia;52.512
532;9/11/2016;Los Angeles;190.72
533;11/9/2018;Los Angeles;47.94
534;1/6/2017;Montgomery;979.95
535;1/6/2017;Montgomery;22.75
536;16/7/2017;Mesa;16.768
537;8/9/2018;Chicago;42.616
538;8/12/2016;New York City;10.752
539;11/12/2016;Henderson;152.94
540;11/12/2016;Henderson;283.92
541;3/2/2015;Green Bay;468.9
542;17/7/2017;Tucson;380.864
543;23/12/2016;Springfield;646.776
544;16/5/2015;Fort Worth;58.112
545;16/5/2015;Fort Worth;100.792
546;16/5/2015;Fort Worth;66.112
547;22/11/2018;New York City;41.28
548;22/11/2018;New York City;13.36
549;17/11/2016;Chicago;250.272
550;17/11/2016;Chicago;11.364
551;17/11/2016;Chicago;8.72
552;17/4/2017;San Francisco;1121.568
553;12/9/2018;Jacksonville;34.504
554;28/11/2018;Houston;10.824
555;3/7/2018;Anaheim;1295.78
556;7/3/2015;Wilmington;19.456
557;15/6/2017;Los Angeles;20.7
558;15/6/2017;Los Angeles;1335.68
559;15/6/2017;Los Angeles;32.4
560;22/11/2018;San Francisco;42.6
561;22/11/2018;San Francisco;84.056
562;18/9/2015;Tampa;13
563;18/9/2015;Tampa;13.128
564;9/12/2016;Seattle;3.96
565;9/12/2016;Seattle;2.61
566;10/12/2018;Los Angeles;374.376
567;8/10/2018;Seattle;91.84
568;8/10/2018;Seattle;81.088
569;8/10/2018;Seattle;19.44
570;8/10/2018;Seattle;451.152
571;4/1/2019;New York City;72.45
572;4/1/2019;New York City;13.96
573;4/1/2019;New York City;33.264
574;4/1/2019;New York City;14.85
575;7/11/2017;Marysville;8.82
576;22/9/2016;Long Beach;160.72
577;22/9/2016;Long Beach;19.92
578;22/9/2016;Long Beach;7.3
579;26/7/2018;Chicago;69.712
580;26/7/2018;Chicago;8.792
581;14/9/2016;Los Angeles;51.52
582;5/12/2018;Denver;470.376
583;5/12/2018;Denver;105.584
584;5/12/2018;Denver;31.152
585;5/12/2018;Denver;6.783
586;5/12/2018;Denver;406.368
587;9/7/2016;Richmond;70.98
588;9/7/2016;Richmond;294.93
589;24/3/2017;Salem;84.784
590;24/3/2017;Salem;20.736
591;24/3/2017;Salem;16.821
592;24/3/2017;Salem;10.368
593;13/1/2015;Laredo;9.344
594;13/1/2015;Laredo;31.2
595;15/8/2015;San Diego;76.12
596;15/8/2015;San Diego;1199.976
597;15/8/2015;San Diego;445.96
598;15/8/2015;San Diego;327.76
599;16/7/2017;Philadelphia;11.632
600;21/7/2017;Philadelphia;143.982
601;21/7/2017;Philadelphia;494.376
602;21/7/2017;Philadelphia;5.84
603;19/3/2015;Tampa;142.776
604;19/3/2015;Tampa;45.696
605;19/3/2015;Tampa;7.218
606;19/3/2015;Tampa;43.188
607;19/3/2015;Tampa;131.904
608;27/5/2015;Philadelphia;3.282
609;27/5/2015;Philadelphia;21.168
610;27/5/2015;Philadelphia;55.188
611;1/5/2017;Dallas;369.576
612;1/5/2017;Dallas;15.712
613;13/9/2017;Philadelphia;8.448
614;13/9/2017;Philadelphia;728.946
615;17/11/2018;Grove City;119.94
616;17/11/2018;Grove City;3.648
617;23/8/2018;New York City;40.48
618;23/8/2018;New York City;9.94
619;23/8/2018;New York City;107.424
620;23/8/2018;New York City;37.91
621;23/8/2018;New York City;88.02
622;31/12/2015;Chicago;8.69
623;3/12/2016;Dearborn;301.96
624;3/12/2016;Dearborn;555.21
625;3/12/2016;Dearborn;523.48
626;3/12/2016;Dearborn;161.82
627;19/9/2018;New York City;35.56
628;23/5/2018;Seattle;97.16
629;21/12/2018;San Francisco;15.24
630;21/12/2018;San Francisco;13.23
631;13/12/2017;Aurora;243.384
632;13/12/2017;Aurora;119.8
633;13/12/2017;Aurora;300.768
634;26/9/2018;Miami;17.88
635;26/9/2018;Miami;235.944
636;9/10/2016;Warner Robins;392.94
637;21/8/2017;Aurora;18.882
638;21/8/2017;Aurora;122.328
639;25/5/2017;Vallejo;1049.2
640;25/5/2017;Vallejo;15.424
641;22/12/2017;Minneapolis;18.84
642;3/8/2018;Mission Viejo;330.4
643;3/8/2018;Mission Viejo;26.25
644;15/6/2018;Rochester Hills;132.52
645;25/7/2018;Plainfield;6.48
646;5/1/2019;Columbus;209.3
647;8/4/2017;Sierra Vista;31.56
648;8/4/2017;Sierra Vista;30.144
649;16/12/2017;Vancouver;14.8
650;16/12/2017;Vancouver;302.376
651;16/12/2017;Vancouver;316
652;29/10/2017;New York City;379.4
653;23/6/2018;New York City;97.82
654;23/6/2018;New York City;103.12
655;28/8/2017;Columbus;113.552
656;28/8/2017;Columbus;3.318
657;28/8/2017;Columbus;134.288
658;19/9/2017;Aurora;701.372
659;19/9/2017;Aurora;2.308
660;28/8/2016;Arlington;999.432
661;28/8/2016;Arlington;724.08
662;28/8/2016;Arlington;918.785
663;28/8/2016;Arlington;2.724
664;30/3/2017;New York City;459.95
665;4/11/2017;Louisville;10.74
666;10/6/2018;Dallas;23.76
667;10/6/2018;Dallas;85.056
668;10/6/2018;Dallas;381.576
669;26/12/2015;Cleveland;30.36
670;13/6/2018;Chicago;23.976
671;13/6/2018;Chicago;108.925
672;13/6/2018;Chicago;36.352
673;22/6/2018;Quincy;19.56
674;8/12/2018;Columbus;61.44
675;8/12/2018;Columbus;38.9
676;8/12/2018;Columbus;99.39
677;23/3/2018;Tyler;2.688
678;23/3/2018;Tyler;27.816
679;23/3/2018;Tyler;82.524
680;23/3/2018;Tyler;182.994
681;24/11/2017;New York City;14.352
682;24/11/2017;New York City;64.96
683;24/11/2017;New York City;68.6
684;4/11/2018;Burlington;7999.98
685;4/11/2018;Burlington;167.44
686;8/7/2015;Jackson;479.97
687;8/7/2015;Jackson;14.62
688;8/7/2015;Jackson;19.44
689;29/12/2018;New York City;191.984
690;23/6/2015;Waynesboro;104.01
691;23/6/2015;Waynesboro;284.82
692;23/6/2015;Waynesboro;36.84
693;2/4/2016;Los Angeles;166.24
694;2/4/2016;Los Angeles;33.4
695;17/5/2016;Chester;198.272
696;17/5/2016;Chester;47.36
697;17/5/2016;Chester;200.984
698;17/5/2016;Chester;97.696
699;17/5/2016;Chester;2.696
700;17/5/2016;Chester;18.588
701;17/5/2016;Chester;4.896
702;8/9/2018;Cleveland;15.072
703;8/11/2017;Seattle;209.88
704;14/4/2016;Long Beach;369.912
705;17/9/2015;Cary;10.368
706;17/9/2015;Cary;166.84
707;17/9/2015;Cary;15.216
708;4/12/2015;New York City;119.96
709;4/12/2015;New York City;883.92
710;4/12/2015;New York City;46.72
711;7/4/2015;New York City;55.48
712;7/9/2018;Palm Coast;24.448
713;24/5/2018;Mount Vernon;281.34
714;24/5/2018;Mount Vernon;307.98
715;24/5/2018;Mount Vernon;299.97
716;6/7/2015;Seattle;19.92
717;14/1/2015;Dover;9.94
718;29/9/2018;Newark;103.056
719;7/6/2015;Orem;59.808
720;7/6/2015;Orem;73.32
721;18/2/2017;Los Angeles;146.82
722;19/12/2017;Detroit;1652.94
723;19/12/2017;Detroit;296.37
724;13/10/2015;Philadelphia;129.92
725;12/7/2017;Hialeah;45.584
726;20/9/2018;Austin;17.568
727;20/9/2018;Austin;55.992
728;6/12/2017;Oceanside;182.72
729;6/12/2017;Oceanside;400.032
730;6/12/2017;Oceanside;33.63
731;6/12/2017;Oceanside;542.646
732;6/12/2017;Oceanside;6.3
733;25/1/2018;Seattle;242.94
734;25/1/2018;Seattle;179.97
735;25/1/2018;Seattle;99.696
736;25/1/2018;Seattle;27.936
737;25/1/2018;Seattle;84.98
738;25/1/2018;Seattle;18.72
739;12/9/2015;San Francisco;49.98
740;8/1/2015;Naperville;11.784
741;8/1/2015;Naperville;272.736
742;8/1/2015;Naperville;3.54
743;1/9/2017;Dallas;51.52
744;1/9/2017;Dallas;3.528
745;1/9/2017;Dallas;4.624
746;1/9/2017;Dallas;55.168
747;27/5/2015;San Diego;567.12
748;27/5/2015;San Diego;359.32
749;22/3/2017;Evanston;11.992
750;6/10/2018;Trenton;58.05
751;6/10/2018;Trenton;157.74
752;6/10/2018;Trenton;56.98
753;6/10/2018;Trenton;2.88
754;9/4/2017;San Francisco;1199.976
755;12/12/2016;Los Angeles;79.92
